X,Y,NAME,OBJECTID,STATUS
530126,178041,St. George Wharf Pier,1,Current
531499,180787,Blackfriars Pier,2,Current
543845,179473,Woolwich Royal Arsenal Pier,3,Current
539551,180056,North Greenwich Pier,4,Current
538365,178017,Greenwich Pier,5,Current
537421,178343,Masthouse Terrace Pier,6,Current
536729,179154,Greenland Pier,7,Current
533426.0625,180461.906300001,Tower Pier,8,Current
533035,180404,London Bridge City Pier,9,Current
530546,179949,London Eye Pier,10,Current
536894,180336,Canary Wharf Pier,11,Current
534959.0417,180027.179199999,Wapping Pier,12,Current
532153,180590,Bankside Pier,13,Current
530294,178657,Millbank Pier,14,Current
536701,180235,Doubletree Docklands Nelson Dock Pier,15,Current
530504,180404,Embankment Pier,16,Current
524054,175775,Putney Pier,17,Current
525247,175348,Wandsworth Riverside Quarter Pier,18,Current
526504,176575,Chelsea Harbour Pier,19,Current
527421,177585,Cadogan Pier,20,Current
538778.4847,180544.947799999,New Providence Wharf Pier,21,Proposed
538715.35,179795.25,North Grenwich West Pier,22,Proposed
533799.4161,180321.627499999,St Katharine Pier,23,Current
530726.4774,180352.6984,Festival Pier,24,Current
543241.7147,179372.4814,Woolwich Ferry South Terminal,25,Current
543146.4645,179658.231899999,Woolwich Ferry North Terminal,26,Current
517612.8824,174670.0822,Richmond St. Helena Pier,27,Current
515312.0633,168482.7489,Hampton Court Pier,28,Current
530361.481,179760.2524,Westminster Pier,29,Current
526355.2082,175769.5144,Plantation Wharf Pier,30,Current
519068.0395,177798.819700001,Kew Pier,31,Current
517856.8407,174407.912900001,Richmond Landing Stage Pier,32,Current
517765.1889,169436.9091,Kingston Turks Pier,33,Current
517746.668,168737.6139,Kingston Town End Pier,34,Current
528821.1563,177723.6624,Battersea Pier,35,Proposed
